company_name,industry,symbol,Series,sector,ticker,f&o,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupin Limited,Drug Manufacturers - Specialty & Generic,LUPIN,EQ,Healthcare,LUPIN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Reddy's Laboratories Limited,Drug Manufacturers - Specialty & Generic,DRREDDY,EQ,Healthcare,DRREDDY.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marico Limited,Household & Personal Products,MARICO,EQ,Consumer Defensive,MARICO.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazagon Dock Shipbuilders Limited,Aerospace & Defense,MAZDOCK,EQ,Industrials,MAZDOCK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMR AIRPORTS LIMITED,Industrials,GMRAIRPORT,EQ,Industrials,GMRAIRPORT.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godrej Consumer Products Limited,Household & Personal Products,GODREJCP,EQ,Consumer Defensive,GODREJCP.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indus Towers Limited,Telecom Services,INDUSTOWER,EQ,Communication Services,INDUSTOWER.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero MotoCorp Limited,Auto Manufacturers,HEROMOTOCO,EQ,Consumer Cyclical,HEROMOTOCO.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG Electronics India Limited,Technology,LGEINDIA,EQ,Technology,LGEINDIA.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mankind Pharma Limited,Drug Manufacturers - Specialty & Generic,MANKIND,EQ,Healthcare,MANKIND.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSW Energy Limited,Utilities,JSWENERGY,EQ,Utilities,JSWENERGY.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashok Leyland Limited,Farm & Heavy Construction Machinery,ASHOKLEY,EQ,Industrials,ASHOKLEY.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Healthcare Institute Limited,Medical Care Facilities,MAXHEALTH,EQ,Healthcare,MAXHEALTH.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyds Metals And Energy Limited,Steel,LLOYDSME,EQ,Basic Materials,LLOYDSME.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lodha Developers Limited,Real Estate,LODHA,EQ,Real Estate,LODHA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Indian Hotels Company Limited,Lodging,INDHOTEL,EQ,Consumer Cyclical,INDHOTEL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Forge Limited,Auto Parts,BHARATFORG,EQ,Consumer Cyclical,BHARATFORG.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Birla Capital Limited,Financial Services,ABCAPITAL,EQ,Financial Services,ABCAPITAL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC Limited,Credit Services,RECLTD,EQ,Financial Services,RECLTD.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zydus Lifesciences Limited,Drug Manufacturers - Specialty & Generic,ZYDUSLIFE,EQ,Healthcare,ZYDUSLIFE.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Spirits Limited,Consumer Defensive,UNITDSPR,EQ,Consumer Defensive,UNITDSPR.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waaree Energies Limited,Solar,WAAREEENER,EQ,Technology,WAAREEENER.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREE CEMENT LIMITED,Building Materials,SHREECEM,EQ,Basic Materials,SHREECEM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meesho Limited,Consumer Cyclical,MEESHO,EQ,Consumer Cyclical,MEESHO.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Lombard General Insurance Company Limited,Financial Services,ICICIGI,EQ,Financial Services,ICICIGI.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPC Green Energy Limited,Utilities - Renewable,NTPCGREEN,EQ,Utilities,NTPCGREEN.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrent Power Limited,Utilities,TORNTPOWER,EQ,Utilities,TORNTPOWER.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabur India Limited,Household & Personal Products,DABUR,EQ,Consumer Defensive,DABUR.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurobindo Pharma Limited,Drug Manufacturers - Specialty & Generic,AUROPHARMA,EQ,Healthcare,AUROPHARMA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenskart Solutions Limited,Healthcare,LENSKART,EQ,Healthcare,LENSKART.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF Limited,Conglomerates,SRF,EQ,Industrials,SRF.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindustan Petroleum Corporation Limited,Oil & Gas Refining & Marketing,HINDPETRO,EQ,Energy,HINDPETRO.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential Life Insurance Company Limited,Insurance - Life,ICICIPRULI,EQ,Financial Services,ICICIPRULI.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle Financial Services Software Limited,Software - Infrastructure,OFSS,EQ,Technology,OFSS.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHPC Limited,Utilities - Renewable,NHPC,EQ,Utilities,NHPC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDBI Bank Limited,Banks - Regional,IDBI,EQ,Financial Services,IDBI.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Systems Limited,Information Technology Services,PERSISTENT,EQ,Technology,PERSISTENT.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Commodity Exchange of India Limited,Financial Services,MCX,EQ,Financial Services,MCX.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havells India Limited,Electrical Equipment & Parts,HAVELLS,EQ,Industrials,HAVELLS.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU Small Finance Bank Limited,Banks - Regional,AUBANK,EQ,Financial Services,AUBANK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSN E-Commerce Ventures Limited,Consumer Cyclical,NYKAA,EQ,Consumer Cyclical,NYKAA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC Limited,Steel,NMDC,EQ,Basic Materials,NMDC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Authority of India Limited,Steel,SAIL,EQ,Basic Materials,SAIL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB Fintech Limited,Financial Services,POLICYBZR,EQ,Financial Services,POLICYBZR.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L&T Finance Limited,Credit Services,LTF,EQ,Financial Services,LTF.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One 97 Communications Limited,Software - Infrastructure,PAYTM,EQ,Technology,PAYTM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzlon Energy Limited,Specialty Industrial Machinery,SUZLON,EQ,Industrials,SUZLON.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharti Hexacom Limited,Telecom Services,BHARTIHEXA,EQ,Communication Services,BHARTIHEXA.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndusInd Bank Limited,Banks - Regional,INDUSINDBK,EQ,Financial Services,INDUSINDBK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil India Limited,Energy,OIL,EQ,Energy,OIL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Aluminium Company Limited,Basic Materials,NATIONALUM,EQ,Basic Materials,NATIONALUM.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Federal Bank  Limited,Banks - Regional,FEDERALBNK,EQ,Financial Services,FEDERALBNK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Housing Finance Limited,Mortgage Finance,BAJAJHFL,EQ,Financial Services,BAJAJHFL.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiggy Limited,Consumer Cyclical,SWIGGY,EQ,Consumer Cyclical,SWIGGY.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortis Healthcare Limited,Medical Care Facilities,FORTIS,EQ,Healthcare,FORTIS.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon Life India Asset Management Limited,Asset Management,NAM-INDIA,EQ,Financial Services,NAM-INDIA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Total Gas Limited,Utilities,ATGL,EQ,Utilities,ATGL.NS,#N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
